"city,State",percentHouseholdsWithIntAcc,numberHouseholdsW/oIntAcc
"Lakewood, Colorado",79.8,"12,447"
"Joliet, Illinois",79.6,"9,797"
"Tyler, Texas",79.4,"7,865"
"Bakersfield, California",79.2,"23,088"
"Urban Honolulu, Hawaii",79.2,"26,958"
"Atlanta, Georgia",79.2,"38,523"
"Salinas, California",79.1,"8,434"
"Las Vegas, Nevada",79.1,"43,867"
"Sacramento, California",78.9,"36,939"
"Jacksonville, Florida",78.9,"66,312"
"Hampton, Virginia",78.8,"11,282"
"Glendale, California",78.8,"14,999"
"Manchester, New Hampshire",78.8,"9,690"
"Wichita Falls, Texas",78.6,"8,277"
"Grand Prairie, Texas",78.6,"12,755"
"Oklahoma City, Oklahoma",78.6,"49,773"
"Nashville-Davidson, Tennessee",78.5,"54,089"
"Odessa, Texas",78.5,"8,358"
"Everett, Washington",78.4,"8,925"
"Los Angeles, California",78.3,"287,017"
"Fort Worth, Texas",78.2,"58,622"
"Greensboro, North Carolina",78.2,"25,255"
"Mesa, Arizona",78.2,"36,346"
"Fort Lauderdale, Florida",78.1,"16,212"
"New York, New York",78.1,"675,906"
"Gresham, Oregon",78,"8,535"
"Tucson, Arizona",78,"45,762"
"Corpus Christi, Texas",77.9,"25,610"
"St. Petersburg, Florida",77.8,"23,833"
"High Point, North Carolina",77.8,"9,051"
"Fort Wayne, Indiana",77.8,"22,616"
"Las Cruces, New Mexico",77.7,"8,766"
"Tampa, Florida",77.6,"32,769"
"Norfolk, Virginia",77.5,"19,243"
"Santa Ana, California",77.4,"17,223"
"Palmdale, California",77.4,"10,060"
"Pittsburgh, Pennsylvania",77.3,"29,544"
"Green Bay, Wisconsin",77.3,"9,535"
"Tacoma, Washington",77.3,"18,529"
"Escondido, California",77.2,"10,202"
"McAllen, Texas",77.1,"9,462"
"Pomona, California",77.1,"9,047"
"Albuquerque, New Mexico",77.1,"49,957"
"Omaha, Nebraska",77.1,"39,356"
"Huntsville, Alabama",76.9,"18,402"
